קוד,פריט,משפחת פריט,קבוצת פריט,צורת ניהול מלאי,יחידת מידה,איפיון פריט 06,איפיון חברה,מזהה מדבקה לפריט
GLG-L-PETRI DISH-GLASS-75MM,צלחת פטרי זכוכית - קוטר 75 ממ,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,26961009
GLG-L-PETRI DISH-GLASS-120MM,צלחת פטרי זכוכית - קוטר 120 ממ,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,26960904
GLG-L-JAR-GLASS-120MM,צנצנת זכוכית 380 מל + מכסה זהב,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,26960744
GLG-R-OLEATE-1KG,"סודיום אולאט - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,רגיל,1KG,,גרין גלובל,26564445
GLG-P-B04,ארגז מסטר דו גלי ל-12 בק' 285/250/245,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,25610578
GLG-P-B02,ארגז עבה גדול 375/275/290,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,25578380
GLG-DG-DECLARATION-IMDG,"הצהרת חומ""ס - שינוע ימי",חמרי ניקוי,חמרי ניקוי,רגיל,UNIT,,גרין גלובל,25572095
GLG-P-B03,ארגז עבה קטן 375/275/150,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,25572084
GLG-BASE7460-1KG,"מוצר בסיס 7460 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25406034
GLG-P-C60,שקית אבקות,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,25405858
GLG-T-WATER ELEMENTS TEST,בדיקת רעלים במי שתייה,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,25335036
GLG-P-L50,פקק בטיחות קטן,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,25296742
GLG-R-Q5%-1L,חומצה אצטית 5%,חמרי ניקוי,חמרי ניקוי,רגיל,1L,,,25296738
GLG-BASE8913-1KG,"מוצר בסיס 8913 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291817
GLG-BASE8612-1KG,"מוצר בסיס 8612 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291815
GLG-BASE8510-1KG,"מוצר בסיס 8510 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291813
GLG-BASE8111-1KG,"מוצר בסיס 8111 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291811
GLG-BASE6818-1KG,"מוצר בסיס 6818 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291809
GLG-BASE6814-1KG,"מוצר בסיס 6814 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291807
GLG-BASE6209-1KG,"מוצר בסיס 6209 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291805
GLG-BASE6010-1KG,"מוצר בסיס 6010 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291803
GLG-BASE6011-1KG,"מוצר בסיס 6011 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291801
GLG-BASE6002-1KG,"מוצר בסיס 6002 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291797
GLG-BASE7076-1KG,"מוצר בסיס 7076 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291795
GLG-BASE3712-1KG,"מוצר בסיס 3712 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291793
GLG-BASE3317-1KG,"מוצר בסיס 3317 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291791
GLG-BASE3312-1KG,"מוצר בסיס 3312 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291789
GLG-BASE2101-1KG,"מוצר בסיס 2101 - 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291787
GLG-P-STICKER-LARGE,מדבקה גדולה (אריזות של 25 ליטר ומעלה),חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,25291785
GLG-P-STICKER-SMALL,מדבקה קטנה (עד אריזות 5 ליטר),חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,25291783
GLG-P-L10,פקק לג'ריקן 5 ליטר טבעי,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,25291746
GLG-R-S06-1KG,ריח 06 - סופטי,חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291744
GLG-R-S05-1KG,ריח 05 - קול בלו 4363,חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291741
GLG-R-S04-1KG,ריח 04 - פטל מלונות,חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291739
GLG-R-S03-1KG,ריח 03 - מסיר גריז,חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291737
GLG-R-S02-1KG,ריח 02 - אביב/לגונה,חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,25291735
GLG-R-S01-1KG,ריח 01 - לימון,חמרי ניקוי,חמרי ניקוי,אצווה,173KG,,גרין גלובל,25291732
GLG-R-WW-1G,צבען צהוב K7164-J,חמרי ניקוי,חמרי ניקוי,אצווה,173KG,,גרין גלובל,25291729
