קוד חשבון,שם,עיר או שכונה,רחוב,טלפון בעבודה,סיווג לקוח,תאריך יצירה
@010.000034,UEC Electronics,,,,,29/06/2020
@010.000036,Richen Industry Ltd,,,,,27/07/2020
@010.000042,Applied Instrument Group (2007) Ltd,,,,,22/02/2021
10,נסיון,,,,,29/11/2018
1000000,לקוחות שונים,,,04-9572265,,29/11/2018
100000001,לקוחות ללא שיוך,,,,,31/03/2020
1000001,מכירת רכב,,,,,29/11/2018
1012001,א.ש אספקה טכנית,חצור הגלילית,תד 6281,06-6935301,,29/11/2018
1012006,י.א. אספקת הגליל,נצרת עילית,"א""ת א נצרת עלית",06-6453446,,29/11/2018
1012007,"א.א. גלס בע""מ",ירושלים,תד 53150,02-6409999,,29/11/2018
1012008,"אלמוג ציוד טכני בע""מ",חיפה,תד 10275,04-8815000,סוחר,29/11/2018
1012021,אלקטרו - טולס,רמלה,רח' תל חי 5,08-9231216,,29/11/2018
1012027,אגרו כלי 1990,תל אביב יפו,עמינדב 23,03-5620328,,29/11/2018
1012101,"גולדשטיין את כהן בע""מ",חיפה,דרך העצמאות 57 חיפה,054-4233153,,29/11/2018
1012104,ברג-לא פעיל,נתניה,פנקס 15,09-823891,,29/11/2018
1012105,בקרה גבע-חנות,תל אביב יפו,החשמונאים 99,03-5610828,,29/11/2018
1012201,ג.א.ש הידראוליקה,עפולה,"קהילת ציון א""ת עפולה",04-6596569,,29/11/2018
1012204,"גוטמן ברזילי (1983) בע""מ",חולון,"החופר 34/36 א""ת תד 1985",03-6506767,סוחר,29/11/2018
1012207,חשב. שנפתח בזמן עדכון,,,,,29/11/2018
1012208,מאור גבריאלי,נצרת עילית,דרך החטיבות 16 נצרת עלי,04-6578947,סוחר,29/11/2018
1012233,י. המבורגר-כל בו לאספקה ט,נתניה,הרצל 39,09-8613062,,29/11/2018
1012510,"גלבורג בע""מ",ראשון לציון,"משה בקר 11    א""ת ישן",03-9665902,,29/11/2018
1012511,הידרו גולן,קרית שמונה,ת.ד. 853,04-6951544,,29/11/2018
1012512,המשווק המרכזי חומרי גלם ב,קרית גת,מבוא סיון 5,08-6811141,סוחר,29/11/2018
1012513,המרכז לאספקה לא לשימוש,חיפה,תד 10920,04-8401020,,29/11/2018
1012514,חשב. שנפתח בזמן עדכון,,,,,29/11/2018
1012516,הספקה טכנית תשובה,פתח תקוה,הירקונים 39,03-9343736,,29/11/2018
1012601,עידן 88 שיווק כלי עבודה ב,אשקלון,תד 5166,08-6751458,סוחר,29/11/2018
1012602,אור 87 -לא פעיל,,א.ת. אילת ת.ד 5088,08-6331380,,29/11/2018
1012702,"זייפר בע""מ",נתניה,תד 13086,09-8823313,סוחר,29/11/2018
1012802,"חן שמואל כימיקלים בע""מ",חיפה,תד 10018,04-8400616,סוחר,29/11/2018
1012902,טכנו גל,,א.ת. ת.ד. 60 חדרה,04-6178800,,29/11/2018
1012903,"טכנו דקל 2000 (1986) בע""מ",נהריה,א.ת מילואות דרום תד 13,04-9517701,סוחר,29/11/2018
1012904,"טכנו שלמה בע""מ",כרמיאל,החרושת 33 תד 551,04-9988003,סוחר,29/11/2018
1012906,טרנסטכניקה בקרת זרימה,,רח' הפרת 2 ,03-5599522,סוחר,29/11/2018
1012907,"טכנובר בע""מ",נתניה,האורזים 4,09-8621935,,29/11/2018
1013001,"יעקובוביץ ובניו בע""מ",תל אביב יפו,"הגדוד העברי 14 ת""א",03-6874848,,29/11/2018
