קוד פריט,מספר מסמך,פרופיל,תאריך אסמכתא,קוד לקוח,שם לקוח,מיקוד,שם לקוח,סיווג לקוח,אסמכתא חיצונית,תאור פריט,מאפיין פריט,הפרדת מוצרים,מקט לקוח,כמות,מחיר נטו לשורה,קוד מטבע,מחיר מחירון שיקלי,%הנחה שורה,%הנחה כללי,הנחה בשורה,"סה""כ לשורה בש""ח",תאריך אספקה,שם חברה,סוכן,docStatus,קוד קבוצת פריט,תאור קבוצת פריט,מסד
GLG-3313-23010001-25L,FIN.11/013824,חשבונית מס כולל מלאי,16/04/2018,2912001,"פ.מ.ס  מיגון בע""מ",61180,"פ.מ.ס  מיגון בע""מ",יצרן ציוד ומיכון,9204-18,אקונומיקה אקולוגית,N,,,2,360,ILS,315,0,0,0,720,15/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,103
GLG-3313-42310001-750ML,FIN.11/014994,חשבונית מס כולל מלאי,23/05/2018,5140953,לפלנד מערכות,6473104 ,גרין איט,סוחר,23/05/2018,אקונומיקה אקולוגית,N,,,12,10,ILS,14,0,0,0,120,23/05/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,107
RGN-3313-5L,FIN.11/015761,חשבונית מס כולל מלאי,14/06/2018,5140953,גרין איט,6473104 ,גרין איט,סוחר,14/06/2018,אקונומיקה אקולוגית,N,,,4,43,ILS,67,0,0,0,172,14/06/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,682
RGN-3313-1L,FIN.11/016837,חשבונית מס כולל מלאי,19/07/2018,5041949,"בס""ד בריאות מהטבע",4959127 ,"בס""ד בריאות מהטבע",סוחר,18/07/2018,אקונומיקה אקולוגית,N,,,12,14,ILS,14,0,0,0,168,18/07/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,681
GLG-3313-42310001-750ML,FIN.11/017123,חשבונית מס כולל מלאי,30/07/2018,5140953,גרין איט,6473104 ,גרין איט,סוחר,29/07/2018,אקונומיקה אקולוגית,N,,,12,10,ILS,14,0,0,0,120,29/07/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,108
RGN-3313-5L,FIN.11/017990,חשבונית מס כולל מלאי,23/08/2018,5042039,עוצמה שיווק מוצרי צריכה ב,9123101,עוצמה שיווק מוצרי צריכה ב,סוחר,19/08/2018,אקונומיקה אקולוגית,N,,,20,40,ILS,67,0,0,0,800,19/08/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,683
RGN-3313-5L,FIN.11/018730,חשבונית מס כולל מלאי,26/09/2018,5042039,עוצמה שיווק מוצרי צריכה ב,9123101,עוצמה שיווק מוצרי צריכה ב,סוחר,7336,אקונומיקה אקולוגית,N,,,60,40,ILS,67,0,0,0,2400,20/09/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,684
GLG-3313-23010001-25L,FIN.11/018933,חשבונית מס כולל מלאי,04/10/2018,5140953,גרין איט,6473104 ,גרין איט,סוחר,03/10/2018,אקונומיקה אקולוגית,N,,,1,215,ILS,315,0,0,0,215,03/10/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,106
GLG-3313-23010001-25L,FIN.11/014244,חשבונית מס כולל מלאי,01/05/2018,5041937,קריית שופר-סל,,קריית שופר-סל,"תעשית המזון, הפארמה והקוסמטיקה",4500961711,אקונומיקה אקולוגית,N,,,1,250,ILS,315,0,0,0,250,29/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,104
GLG-3313-23010001-25L,FIN.11/016327,חשבונית מס כולל מלאי,02/07/2018,5041989,"אמורה מיו בע""מ",,"אמורה מיו בע""מ","תעשית המזון, הפארמה והקוסמטיקה",25/06/2018,אקונומיקה אקולוגית,N,,,2,290,ILS,315,0,0,0,580,25/06/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,105
