קוד פריט,מספר מסמך,פרופיל,תאריך אסמכתא,קוד לקוח,שם לקוח,מיקוד,שם לקוח,סיווג לקוח,אסמכתא חיצונית,תאור פריט,מאפיין פריט,הפרדת מוצרים,מקט לקוח,כמות,מחיר נטו לשורה,קוד מטבע,מחיר מחירון שיקלי,%הנחה שורה,%הנחה כללי,הנחה בשורה,"סה""כ לשורה בש""ח",תאריך אספקה,שם חברה,סוכן,docStatus,קוד קבוצת פריט,תאור קבוצת פריט,
GLG-N-3712-99000000-KIT,11.051.19000005,חשבונית יצוא,28/01/2019,5042075,GREENLINE AUSTRALIA,3122,GREENLINE AUSTRALIA,שונות,PO 116,ערכה להכנת,100ML,חומרי ניקוי ,,37,184,USD,678.04,0,0,0,25087.48,15/01/2019,"רוטל דבקים וכימיקלים בע""מ",עע,3,2042,חמרי ניקוי,911
GLG-N-6011-99000400-KIT,11.051.19000005,חשבונית יצוא,28/01/2019,5042075,GREENLINE AUSTRALIA,3122,GREENLINE AUSTRALIA,שונות,PO 116,ערכה להכנת,100ML,חומרי ניקוי ,,100,190,USD,700.15,0,0,0,70015,15/01/2019,"רוטל דבקים וכימיקלים בע""מ",עע,3,2042,חמרי ניקוי,917
GLG-N-7076-99000000-KIT,11.051.19000005,חשבונית יצוא,28/01/2019,5042075,GREENLINE AUSTRALIA,3122,GREENLINE AUSTRALIA,שונות,PO 116,ערכה להכנת,100ML,חומרי ניקוי ,,200,80,USD,294.8,0,0,0,58960,15/01/2019,"רוטל דבקים וכימיקלים בע""מ",עע,3,2042,חמרי ניקוי,932
GLG-N-6813-99000305-KIT,11.051.19000033,חשבונית יצוא,29/08/2019,5051023,Distribuidora Ojel s.a,,Distribuidora Ojel s.a,שונות,RGN NH Sample,ערכה להכנת,100ML,חומרי ניקוי ,,1,15,USD,52.86,0,0,0,52.86,29/08/2019,"רוטל דבקים וכימיקלים בע""מ",רוטל,0,2042,חמרי ניקוי,927
GLG-N-6011-99000400-KIT,11.051.19000020,חשבונית יצוא,08/04/2019,5051013,roovel solutions pvt ltd,,roovel solutions pvt ltd ,שונות,Email dated 27.11.18,ערכה להכנת,100ML,חומרי ניקוי ,,4,190,USD,681.53,0,0,0,2726.12,24/02/2019,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי,918
GLG-N-3312-99000000-KIT,11.051.19000005,חשבונית יצוא,28/01/2019,5042075,GREENLINE AUSTRALIA,3122,GREENLINE AUSTRALIA,שונות,PO 116,ערכה להכנת,100ML,חומרי ניקוי ,,37,184,USD,678.04,0,0,0,25087.48,15/01/2019,"רוטל דבקים וכימיקלים בע""מ",עע,3,2042,חמרי ניקוי,906
GLG-ECO_KLEAR-250ML,10DVK52.1901707,חשבונית מס כולל מלאי,21/02/2019,5041437,"א.תבור סחר בע""מ",3295151 ,"א.תבור סחר בע""מ",סוחר,25611,מסיר אבנית,250ML,חומרי ניקוי ,,504,5.4,ILS,5.4,0,0,0,2721.6,06/11/2018,"רוטל דבקים וכימיקלים בע""מ",ניר שמחי,3,2042,חמרי ניקוי,181
GLG-ECO_KLEAR-250ML,10DVK52.1904213,חשבונית מס כולל מלאי,14/05/2019,5041437,"א.תבור סחר בע""מ",3295151 ,"א.תבור סחר בע""מ",סוחר,25611,מסיר אבנית,250ML,חומרי ניקוי ,,480,5.4,ILS,5.4,0,0,0,2592,06/11/2018,"רוטל דבקים וכימיקלים בע""מ",ניר שמחי,3,2042,חמרי ניקוי,182
GLG-ECO_KLEAR-250ML,10DVK52.1905671,חשבונית מס כולל מלאי,30/06/2019,5041437,"א.תבור סחר בע""מ",3295151 ,"א.תבור סחר בע""מ",סוחר,25611,מסיר אבנית,250ML,חומרי ניקוי ,,696,5.4,ILS,5.4,0,0,0,3758.4,06/11/2018,"רוטל דבקים וכימיקלים בע""מ",ניר שמחי,3,2042,חמרי ניקוי,183
GLG-ECO_KLEAR-250ML,10DVK52.1909470,חשבונית מס כולל מלאי,05/11/2019,5041437,"א.תבור סחר בע""מ",3295151 ,"א.תבור סחר בע""מ",סוחר,25681,מסיר אבנית,250ML,חומרי ניקוי ,,480,5.4,ILS,5.4,0,0,0,2592,01/12/2019,"רוטל דבקים וכימיקלים בע""מ",ניר שמחי,3,2042,חמרי ניקוי,184
GLG-ECO_KLEAR-250ML,10DVK52.1910834,חשבונית מס כולל מלאי,16/12/2019,5041437,"א.תבור סחר בע""מ",3295151 ,"א.תבור סחר בע""מ",סוחר,25681,מסיר אבנית,250ML,חומרי ניקוי ,,480,5.4,ILS,5.4,0,0,0,2592,11/12/2019,"רוטל דבקים וכימיקלים בע""מ",ניר שמחי,3,2042,חמרי ניקוי,185
RGN-901,10DVK52.1904033,חשבונית מס כולל מלאי,07/05/2019,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO19K01139,פקדון,25L,חומרי ניקוי ,,5,35,ILS,35,0,0,0,175,06/05/2019,"רוטל דבקים וכימיקלים בע""מ",ציון רון,3,2042,חמרי ניקוי,23
RGN-901,10DVK52.1904036,חשבונית מס כולל מלאי,07/05/2019,5026071,"הצורפים בע""מ",,"הצורפים בע""מ",שונות,73/043317,פקדון,25L,חומרי ניקוי ,,1,35,ILS,35,0,0,0,35,07/05/2019,"רוטל דבקים וכימיקלים בע""מ",לירן מסטל,3,2042,חמרי ניקוי,334
