קוד פריט,מספר מסמך,פרופיל,תאריך אסמכתא,קוד לקוח,שם לקוח,מיקוד,שם לקוח,סיווג לקוח,אסמכתא חיצונית,תאור פריט,מאפיין פריט,הפרדת מוצרים,מקט לקוח,כמות,מחיר נטו לשורה,קוד מטבע,מחיר מחירון שיקלי,%הנחה שורה,%הנחה כללי,הנחה בשורה,"סה""כ לשורה בש""ח",תאריך אספקה,שם חברה,סוכן,docStatus,קוד קבוצת פריט,תאור קבוצת פריט
GLG-R-CN-IPA-18L,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,איזופרופיל אלכוהול,N,חומרי ניקוי ,,2,210,ILS,210,0,0,0,420,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
GLG-R-GD-BG-1000L,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,בוטיל גליקול - קוביה,N,חומרי ניקוי ,,1,1200,USD,3940.8,0,0,0,3940.8,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
GLG-R-GD-BG-1000L,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,בוטיל גליקול - קוביה,N,חומרי ניקוי ,,1,1200,USD,3940.8,0,0,0,3940.8,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
112-2L-P,10DVK52.2100801,חשבונית מס כולל מלאי,24/01/2021,5051390,אבן אודם,0,אבן אודם,שונות,24/01/2021,בק' פלסטי טבעי מלבני 2ל'+פקק (נוזל שמשות),N,חומרי ניקוי ,,15,3.94,ILS,3.94,0,0,0,59.1,24/01/2021,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
112-2L-P,10DVK52.2110551,חשבונית מס כולל מלאי,04/11/2021,5051390,אבן אודם,0,אבן אודם,שונות,03.11.21,בק' פלסטי טבעי מלבני 2ל'+פקק (נוזל שמשות),N,חומרי ניקוי ,,10,3.94,ILS,3.94,0,0,0,39.4,03/11/2021,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
111-500ML-PE-W,10DVK52.2100463,חשבונית מס כולל מלאי,13/01/2021,5051390,אבן אודם,0,אבן אודם,שונות,13/01/2021,בקבוק דגם טליה,500ML,חומרי ניקוי ,,162,1.1,ILS,1.1,0,0,0,178.2,13/01/2021,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
111-500ML-PE-W,10DVK52.2102948,חשבונית מס כולל מלאי,22/03/2021,5051390,אבן אודם,0,אבן אודם,שונות,03/03/2021,בקבוק דגם טליה,500ML,חומרי ניקוי ,,162,1.1,ILS,1.1,0,0,0,178.2,03/03/2021,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
111-500ML-PE-W,10DVK52.2106831,חשבונית מס כולל מלאי,11/07/2021,5051390,אבן אודם,0,אבן אודם,שונות,07.07.2021,בקבוק דגם טליה,500ML,חומרי ניקוי ,,162,1.1,ILS,1.1,0,0,0,178.2,07/07/2021,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
111-500ML-PE-W,10DVK61.2100219,חשבונית זיכוי,04/08/2021,5051390,אבן אודם,0,אבן אודם,שונות,07.07.2021,בקבוק דגם טליה,500ML,חומרי ניקוי ,,-12,1.1,ILS,1.1,0,0,0,-13.2,07/07/2021,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
GLG-R-CN-PHA-85%-35KG,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,חומצה זרחתית,N,חומרי ניקוי ,,24,164.5,ILS,164.5,0,0,0,3948,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
GLG-R-CN-PHA-85%-35KG,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,חומצה זרחתית,N,חומרי ניקוי ,,20,164.5,ILS,164.5,0,0,0,3290,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
GLG-R-CN-PHA-85%-35KG,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,חומצה זרחתית,N,חומרי ניקוי ,,35,164.5,ILS,164.5,0,0,0,5757.5,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
GLG-R-CN-PHA-85%-35KG,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,חומצה זרחתית,N,חומרי ניקוי ,,20,164.5,ILS,164.5,0,0,0,3290,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
GLG-R-CN-PHA-85%-35KG,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,חומצה זרחתית,N,חומרי ניקוי ,,21,164.5,ILS,164.5,0,0,0,3454.5,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
GLG-R-CC-PHA-75%-35KG,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,חומצה פוספורית,N,חומרי ניקוי ,,25,165.37,ILS,165.37,0,0,0,4134.25,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
GLG-R-CN-CA-25KG,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,חומצה פוספורית,N,חומרי ניקוי ,,3,160,ILS,160,0,0,0,480,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
"111-28""-CLEAR-TRIGGER",10DVK52.2106831,חשבונית מס כולל מלאי,11/07/2021,5051390,אבן אודם,0,אבן אודם,שונות,07.07.2021,טריגר ברבור,N,חומרי ניקוי ,,80,1.4,ILS,1.4,0,0,0,112,07/07/2021,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
GLG-P-L31,10GG52.2100019,חשבונית מס כולל מלאי,26/05/2021,5051613,"מלון אינק (טי.אל.וי) הע""מ ",6382635 ,"מלון אינק (טי.אל.וי) הע""מ ",שירותים,24.05.2021,טריגר ברבור,N,חומרי ניקוי ,,40,0,ILS,1,100,0,40,0,24/05/2021,גרין ליין גלובל,ירון שריג,3,2042,חמרי ניקוי
GLG-P-L31,10DVK52.2100463,חשבונית מס כולל מלאי,13/01/2021,5051390,אבן אודם,0,אבן אודם,שונות,13/01/2021,טריגר ברבור,N,חומרי ניקוי ,,81,1.4,ILS,1.4,0,0,0,113.4,13/01/2021,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
